"Status","DaysEnrollToStart","Campus1","Campus2","ProgramVersionBSDH2017","ProgramVersionBSN2013","ProgramVersionBSN2015","DaysLeadToEnroll","GenderFemale","MaritalStatusDivorced","MaritalStatusMarried","MaritalStatusSeparated","MaritalStatusSingle","MaritalStatusWidowed","AgeAtLead","IsVeteran1","IsHispanic1","FinancialAidAdvisorID1"
"0",117,1,0,0,0,1,6,1,0,0,0,1,0,24,0,0,1
"1",146,0,0,0,0,0,0,1,0,1,0,0,0,43,0,0,0
"0",131,0,1,0,0,0,1687,0,0,0,0,1,0,23,0,1,1
"0",122,0,0,0,0,1,98,0,0,0,0,1,0,20,0,0,1
"0",38,0,0,0,0,1,-1,1,0,0,0,1,0,19,0,0,1
"1",80,0,0,0,0,1,6,1,0,0,0,1,0,21,0,1,1
"0",101,0,1,0,0,1,-1,1,0,0,0,1,0,27,0,0,1
"1",118,1,0,0,0,1,1623,1,0,0,0,1,0,20,0,0,1
"0",40,0,0,0,0,1,971,1,0,0,0,1,0,24,0,0,1
"0",122,0,0,0,0,1,162,1,0,0,0,1,0,31,0,1,1
"1",95,0,1,0,0,1,994,1,0,0,0,1,0,26,0,1,1
"0",117,0,0,0,0,1,-1,0,0,0,0,1,0,27,0,1,1
"1",94,0,0,0,0,1,-1,0,0,0,0,1,0,29,1,0,1
"1",112,0,1,0,0,1,2,1,0,0,0,1,0,23,0,1,1
"0",54,0,1,0,0,1,-1,1,0,0,0,1,0,20,0,0,1
"0",54,0,0,0,0,1,36,1,0,0,0,1,0,24,0,1,1
"1",150,0,0,0,0,1,740,1,0,1,0,0,0,26,0,0,0
"0",137,0,0,0,0,1,10,1,0,0,0,1,0,19,0,0,1
"0",84,0,0,0,0,0,129,1,0,0,0,1,0,32,0,1,1
"1",152,0,0,0,0,1,-96,1,0,1,0,0,0,42,0,1,1
"0",55,1,0,0,0,1,76,1,0,0,0,1,0,21,0,1,1
"0",103,0,1,0,0,1,83,1,0,0,0,1,0,23,0,0,1
"0",116,1,0,0,0,0,61,1,0,0,0,1,0,22,0,0,1
"0",76,0,1,0,0,1,2,1,0,0,0,1,0,21,0,1,1
"0",87,0,0,0,0,1,20,0,0,0,0,0,0,27,0,0,1
"1",144,0,1,0,0,1,0,1,0,0,0,1,0,23,0,0,1
"1",144,0,1,0,0,1,0,1,0,0,0,1,0,21,0,0,0
"0",119,1,0,0,0,1,-1,1,0,0,0,1,0,25,0,0,1
"1",129,1,0,0,0,1,0,1,0,0,0,1,0,21,0,0,1
"0",91,0,1,0,0,1,-1,0,0,1,0,0,0,32,0,0,1
"0",66,0,1,0,0,1,-1,1,0,0,0,1,0,20,0,0,1
"1",80,1,0,0,0,1,0,1,0,0,0,1,0,19,0,0,1
"1",124,0,1,0,0,1,-1,1,0,0,0,0,0,35,0,1,0
"1",96,1,0,0,0,0,3749,1,0,0,0,1,0,29,0,0,1
"1",89,0,0,0,0,1,884,1,0,0,0,0,0,35,0,0,1
"0",94,0,0,0,0,1,57,1,0,0,0,1,0,21,0,1,1
"0",82,0,1,0,0,1,855,1,0,1,0,0,0,21,0,0,1
"1",112,0,1,0,0,1,-1,0,0,0,0,1,0,46,0,0,1
"0",98,0,1,0,0,1,-1,1,0,0,0,1,0,20,0,1,1
"1",62,0,0,0,0,1,187,0,0,0,0,1,0,24,0,1,1
"1",115,0,0,0,0,1,20,0,0,0,0,1,0,18,0,0,1
"0",822,0,1,0,0,1,54,0,0,0,0,1,0,21,0,0,1
"1",63,1,0,0,0,1,6,1,0,1,0,0,0,47,0,1,1
"1",81,0,1,0,0,1,13,0,0,0,0,1,0,20,0,0,1
"1",129,0,0,0,0,1,38,1,0,0,0,0,0,22,0,1,1
"1",104,0,1,0,0,1,-1,0,0,0,0,1,0,22,0,1,1
"1",116,0,1,0,0,1,4,1,0,1,0,0,0,29,0,0,1
"0",54,0,0,0,0,1,9,1,0,0,0,1,0,23,0,0,1
"1",95,1,0,0,0,1,10,1,0,0,0,1,0,22,0,0,1
